Dataset,Technology,concept-id
AMSR2,passive microwave,C2264132976-GES_DISC
AMSRE,passive microwave,C2368306433-GES_DISC
SSMIS,passive microwave,C2264134106-GES_DISC
GPM GMI,passive microwave,C2259345563-GES_DISC
MWI,passive microwave,C3206284786-POCLOUD
Sentinel-1,radar,C1595422627-ASF
Radarsat-2,radar,C2445465291-ORNL_CLOUD
GPM DPR,radar,C2179081499-GES_DISC
ALOS,radar,C1808440897-ASF
ALOS-2,radar,C3235172460-ORNL_CLOUD
VIIRS,visible/ir,C1562021084-LAADS
MODIS,visible/ir,C1748066515-LPCLOUD
Landsat,visible/ir,C2021957657-LPCLOUD
GOES,thermal,C2768952288-ORNL_CLOUD
ASTER,thermal,C1711961296-LPCLOUD
ECOSTRESS,thermal,C2076090826-LPCLOUD
ICESat-2,lidar,C2596864127-NSIDC_CPRD
GEDI,lidar,C2142771958-LPCLOUD
Worldview,stereo,C2143402730-ORNL_CLOUD
Planet,stereo,C2612824429-ORNL_CLOUD
Pleiades,stereo,NONE
GlobSnow,model/reanalysis,NONE
MERRA-2,model/reanalysis,C1276812821-GES_DISC
PolarMERRA,model/reanalysis,NONE
ERA5,model/reanalysis,C1595422627-ASF
HMA,model/reanalysis,NONE
SNODEP,model/reanalysis,NONE
SNODAS,model/reanalysis,NONE
UA,model/reanalysis,NONE
GHCN,ground-based,C2550019170-ORNL_CLOUD
SNOTEL,ground-based,C2221862177-ORNL_CLOUD
ASOS,ground-based,C1995871063-GHRC_DAAC
FMI,ground-based,C1266136073-GES_DISC
SPICE,ground-based,C2491756331-POCLOUD
SnowEx,ground-based,C1442068308-GES_DISC
UAVSAR,ground-based,C2428357062-ORNL_CLOUD
